City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,woodend,-43.3167,172.6667,288.39,60,100,2.24,NZ,1685062467
340,vostok,46.4856,135.8833,290.31,38,100,2.66,RU,1685062467
341,serowe,-22.3833,26.7167,289.82,47,1,2.8,BW,1685062467
342,jiuquan,39.7432,98.5174,290.69,16,100,1.75,CN,1685062467
343,aklavik,68.2191,-135.0107,274.01,86,100,4.11,CA,1685062467
344,nova petropolis,-29.3764,-51.1144,291.22,79,0,1.9,BR,1685062467
345,kailua,21.4022,-157.7394,302.14,68,40,7.2,US,1685062467
346,bathsheba,13.2167,-59.5167,300.49,89,40,3.09,BB,1685062468
347,halifax,44.6453,-63.5724,282.87,84,100,7.2,CA,1685062369
348,korla,41.7597,86.1469,293.09,24,12,4.54,CN,1685062468
349,cacahuatepec,16.8861,-99.6106,302.91,65,27,2.33,MX,1685062468
350,marawi,7.9986,124.2928,299.0,73,94,0.89,PH,1685062468
351,salto de agua,17.6167,-92.3667,302.01,54,6,3.22,MX,1685062468
352,birao,10.2849,22.7882,304.34,27,55,1.27,CF,1685062469
353,orocue,4.7912,-71.3354,297.99,90,100,2.5,CO,1685062469
354,padang,-0.9492,100.3543,299.18,81,100,0.68,ID,1685062469
355,hrob,50.6592,13.7268,283.4,87,1,4.02,CZ,1685062469
356,clyde river,70.4692,-68.5914,274.28,75,75,11.32,CA,1685062469
357,baherden,38.4362,57.4316,297.69,17,5,3.31,TM,1685062469
358,viedma,-40.8135,-62.9967,286.46,51,100,4.04,AR,1685062411
359,baykit,61.67,96.37,278.04,63,14,2.85,RU,1685062470
360,panzhihua,26.5851,101.7128,299.73,49,5,1.11,CN,1685062470
361,tambacounda,13.7539,-13.7586,305.18,45,0,2.06,SN,1685062470
